Date,cardano_open,cardano_high,cardano_low,cardano_close,cardano_volume,cardano_MarketCap,polkadot_open,polkadot_high,polkadot_low,polkadot_close,polkadot_volume,polkadot_MarketCap,chainLink_open,chainLink_high,chainLink_low,chainLink_close,chainLink_volume,chainLink_MarketCap,binance_open,binance_high,binance_low,binance_close,binance_volume,binance_MarketCap,ethereum_open,ethereum_high,ethereum_low,ethereum_close,ethereum_volume,ethereum_MarketCap,tether_open,tether_high,tether_low,tether_close,tether_volume,tether_MarketCap,stellar_open,stellar_high,stellar_low,stellar_close,stellar_volume,stellar_MarketCap,xrp_open,xrp_high,xrp_low,xrp_close,xrp_volume,xrp_MarketCap,litecoin_open,litecoin_high,litecoin_low,litecoin_close,litecoin_volume,litecoin_MarketCap,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_MarketCap
13/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,5.685050011,5.719540119,4.190000057,5.385320187,24218800,414729231.3,1,1,1,1,98084.70313,1451600,0.00233137,0.00233315,0.00208808,0.0022026,87956.20313,10654761.66,0.00796148,0.00831523,0.00793654,0.00825746,684444,281503758.7,3.118119955,3.140510082,3.114049911,3.129689932,1313500,139212761.6,384.6409912,391.8599854,384.6409912,391.8599854,61911700,5959279526
12/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,5.946149826,6.582749844,5.070759773,5.546979904,23360800,427037697.2,1,1,1,1,407856,1451600,0.00187811,0.00235656,0.00184223,0.00234394,715496,11338473.64,0.00782219,0.00797939,0.0077303,0.00797939,816579,272024118.5,3.092240095,3.1161201,3.082859993,3.11187005,1041630,138377004.9,379.6860046,384.95401,379.6000061,384.2630005,67042800,5842238586
11/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,4.496819973,6.292230129,4.338300228,6.013100147,26408200,462770854.8,1,1,1,1,65353.69922,1451600,0.00184433,0.0019017,0.00179678,0.00187795,31081.80078,9084313.838,0.00785736,0.00789695,0.00777033,0.00781518,565522,266426061.4,3.11213994,3.125649929,3.070760012,3.075619936,1263660,136722154,382.1140137,383.1300049,376.3989868,379.6539917,74375600,5770550973
10/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,4.000549793,4.861440182,3.78309989,4.436260223,28640400,341305129.3,1,1,1,1,125936,1451600,0.00182753,0.0019137,0.00182076,0.00184859,28846.90039,8942289.048,0.00782746,0.00794348,0.00782009,0.00785346,668185,267731058.8,3.088979959,3.133490086,3.077450037,3.095249891,1358800,137549499,376.1459961,385.4830017,375.7829895,381.6489868,85130896,5799042060
09/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,3.174989939,4.044640064,3.168750048,4.044640064,17954000,311075408.1,1,1,1,1,36351.30078,1451600,0.00185334,0.00188533,0.00176758,0.0018259,17155.90039,8832529.427,0.00799948,0.00801954,0.00773605,0.00781542,866765,266434243.2,3.076080084,3.082230091,3.050940037,3.081549883,1197280,136900626,373.4230042,377.2460022,372.8980103,376.0289917,55318500,5712106127
08/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.97300005,3.274280071,2.875370026,3.17979002,9725690,244479014.3,1,1,1,1,36002.10156,1451600,0.00183856,0.00187526,0.00181526,0.00184127,15538.7002,8906879.598,0.00837531,0.00855076,0.0079587,0.00799082,1048160,272413776.8,3.09190011,3.107310057,3.056580067,3.062160015,964279,135996337.6,376.7569885,379.8789978,373.3340149,373.446991,47671100,5671240831
07/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.536410093,3.058190107,2.536380053,2.964339972,7007060,227838892.3,1,1,1,1,27175.59961,1451600,0.00186412,0.00200784,0.00184304,0.00185202,48477.89844,8958881.181,0.00792366,0.00866588,0.00792366,0.00833814,2460140,282831191,3.109600067,3.125829935,3.079139948,3.085959911,1168970,137008440,376.5140076,380.8710022,374.9030151,376.6199951,37076300,5718023735
06/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.533819914,2.561150074,2.472009897,2.534460068,1921240,194733892.1,1,1,1,1,715070,1451600,0.00183507,0.00188215,0.0018149,0.00186363,19430.80078,9015042.892,0.00727305,0.00792221,0.00724688,0.00792221,1859040,268722771.5,3.149970055,3.154269934,3.077349901,3.098999977,1394670,137541206.3,386.5889893,386.631012,372.3869934,376.5220032,49249300,5714879155
05/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.570349932,2.606179953,2.470920086,2.538990021,2636700,195018591.8,1,1,1,1,97341.10156,1451600,0.00180287,0.00186788,0.00179004,0.00183388,27232.30078,8871131.533,0.0069651,0.007272,0.00695769,0.00726208,1186010,246331044.5,3.171509981,3.171509981,3.135750055,3.137409925,1211900,139198718.1,388.8980103,391.0939941,385.571991,386.5490112,43825000,5865136968
04/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.529030085,2.629539967,2.436460018,2.578039885,3552320,197953036.7,1,1,1,1,150392,1451600,0.00180657,0.00184198,0.00177815,0.00180279,22477.80078,8720738.116,0.00688192,0.0069897,0.00685644,0.00697046,1174600,236439242.3,3.057529926,3.18227005,3.056109905,3.162770033,2059350,140277540.8,370.1740112,391.6080017,369.9930115,389.5939941,69285504,5909517630
03/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.431930065,2.540169954,2.341619968,2.5286901,3987750,194099729.6,1,1,1,1,104733,1451600,0.00179599,0.00183001,0.00178049,0.00180674,33079.30078,8739845.674,0.00677119,0.00690597,0.00675965,0.00688256,803366,233457658.7,3.086390018,3.088890076,3.037909985,3.047529936,1406560,135123740.9,374.6459961,374.9500122,368.0450134,369.9490051,45933400,5609971377
02/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.215189934,2.448980093,2.157200098,2.439640045,3451270,187200921.7,0.999969006,1,0.999969006,1,7113.419922,1451600,0.00179332,0.00181752,0.00175497,0.00179601,40151.69922,8687940.838,0.00654541,0.00679113,0.00654541,0.00676827,809854,229580921.5,3.088010073,3.096479893,3.069509983,3.075870037,1279650,136331472.3,372.9200134,375.8829956,372.9200134,374.447998,40378700,5676528707
01/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.319689989,2.319689989,2.116309881,2.211689949,3994100,169654870.5,0.999998987,1,0.999701023,0.999969006,76316.60156,1451555,0.00177605,0.00181221,0.00174419,0.0017923,14159,8669994.245,0.0063985,0.00655139,0.00636592,0.00654171,830380,221895966.1,3.073430061,3.102030039,3.05749011,3.07723999,1502430,136343189.6,369.3500061,378.071991,367.9570007,373.0559998,51656700,5653747618
31/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,2.443150043,2.530970097,2.186350107,2.306040049,5847500,176834423.9,1,1,0.999998987,0.999998987,10385,1451598.548,0.00173496,0.00183467,0.00168854,0.00177607,26362.30078,8591483.947,0.00663058,0.00663822,0.0063594,0.00639919,977856,217061662.3,3.096930027,3.113869905,3.043659925,3.052160025,1450600,135182678.3,378.2929993,380.3469849,367.8349915,368.7669983,37894300,5587253351
