,Date,Crypto,Volume,Market Cap,OpenClose,HighLow
7744,2018-04-05,4,0.015928570239906834,0.12791936865043144,-0.857184083831612,4.840243103495084
7745,2018-04-04,4,0.016257631615486233,0.12902782219835626,9.444921113556433,11.233909988796697
7746,2018-04-03,4,0.02050953013515228,0.13831746292121624,-7.0955840638325185,9.239378441842831
7747,2018-04-02,4,0.017328565793456725,0.12791917316539383,-1.7405661845085376,4.655277913535215
7748,2018-04-01,4,0.01695656852800673,0.12241839028292387,4.6487560618,10.09415021790663
7749,2018-03-31,4,0.01663319461363443,0.12650902904260183,-0.3664969787399883,6.493138859006223
7750,2018-03-30,4,0.01809382200040642,0.12140713263895361,-2.214646195361226,11.20246708312338
7751,2018-03-29,4,0.018131887603602348,0.1229517474780333,16.091237415693143,16.84754064127469
7752,2018-03-28,4,0.012883257583987983,0.15868159207051988,0.8989877370044468,4.799253354809792
7753,2018-03-27,4,0.014581333229441301,0.15666918145396194,8.769739191442412,9.220151037834071
7754,2018-03-26,4,0.010131265136478862,0.18030383315377263,7.008047605208034,11.890788535967118
7755,2018-03-25,4,0.008274014630779251,0.18839922394678985,-0.30212162677221954,3.909945804946389
7756,2018-03-24,4,0.010624212486770219,0.18827487857127137,3.064551602825105,3.669023974698618
7757,2018-03-23,4,0.013891273251961872,0.19785305546410534,0.04540149786487291,5.537685880146469
7758,2018-03-22,4,0.017544113839742356,0.19440308340819887,4.15062384096403,10.414478389879463
7759,2018-03-21,4,0.012086689366954513,0.19894940161658237,-0.46855423371556526,7.089894077670465
7760,2018-03-20,4,0.014460780153018452,0.19600832340312624,-0.08130352934220753,8.803855912226211
7761,2018-03-19,4,0.020070327856412568,0.19332715954630675,-1.8141844249988708,7.508238087942914
7762,2018-03-18,4,0.024959813937036286,0.19036229438544588,2.4127314424253257,19.898801843758136
7763,2018-03-17,4,0.011506839487867022,0.18958511354508953,8.846028440062952,10.937065971691553
7764,2018-03-16,4,0.013471111386562332,0.20631615476760787,1.6806665573781032,6.005836455284211
7765,2018-03-15,4,0.016979245576363728,0.20695757450220065,0.5782676133893005,7.094161845510243
7766,2018-03-14,4,0.015513016879637818,0.20599094535815768,12.523051218217134,18.29389420339615
7767,2018-03-13,4,0.015298904532438698,0.23250031952671305,1.060466439487186,4.599547283441254
7768,2018-03-12,4,0.02331232702878991,0.2331950763509268,3.5115638532636098,8.670971158309996
7769,2018-03-11,4,0.01909520307223947,0.2454747655752815,-5.257144727962242,10.134063525353753
7770,2018-03-10,4,0.014499520319980226,0.24552587828062064,6.299401297635711,9.57030560267853
7771,2018-03-09,4,0.02817190200349194,0.2585058834867503,-3.665579239292086,12.505498613986703
7772,2018-03-08,4,0.021835118819853633,0.25883003895509704,6.8087242133449735,11.146434522852957
7773,2018-03-07,4,0.018736874404902612,0.2618564330460061,8.426858481693003,13.634355101326932
7774,2018-03-06,4,0.01876829468805696,0.28365587337280657,4.512636417462176,5.418484375553419
7775,2018-03-05,4,0.018255684566652004,0.29476224073365603,1.5417867713313598,1.9214503472236117
7776,2018-03-04,4,0.015319637966016406,0.29808212828305125,-1.2106000907627958,3.292947820420025
7777,2018-03-03,4,0.015230919380137558,0.29630120377704106,-0.05995824496713453,1.5489828472768181
7778,2018-03-02,4,0.018499001670514693,0.29250362568509963,1.7401992210093908,2.8103443757526207
7779,2018-03-01,4,0.018915531738285765,0.29892967636190393,-1.8559949615556235,3.331535779453816
7780,2018-02-28,4,0.018426897713156424,0.29767178801314165,2.658451081177148,4.091096355038033
7781,2018-02-27,4,0.01801345318432139,0.3082276277542674,-0.899503484973124,3.3631748020996213
7782,2018-02-26,4,0.022875011655581656,0.30533333432194587,-2.765049175176017,4.520028688703363
7783,2018-02-25,4,0.01388987487571439,0.2924411441525036,-0.6333984208351637,3.7409686437992207
7784,2018-02-24,4,0.019246660501215773,0.2881538060905174,2.5077485306438803,7.449883205157377
7785,2018-02-23,4,0.021529858902098825,0.30279575100016337,-6.087094643761546,11.515854575568937
7786,2018-02-22,4,0.02352557322389729,0.28302657322261465,4.480196659290996,9.12681119554209
7787,2018-02-21,4,0.020276416779286634,0.28943753276565515,5.195942100794014,9.850187508120257
7788,2018-02-20,4,0.030184572392426008,0.2992730007791813,5.382801815817274,8.097957657053342
7789,2018-02-19,4,0.02525239646564347,0.3098047576107568,-2.3517092676259637,3.9306389850650305
7790,2018-02-18,4,0.03366895692196431,0.30066358535573184,5.3498056022643965,7.372149668660228
7791,2018-02-17,4,0.026242388694838116,0.3113860005853662,-3.0147369344419417,3.8098101420629007
7792,2018-02-16,4,0.02691762039120014,0.3051837673037949,-0.9980842197353468,3.5035192793307317
7793,2018-02-15,4,0.03296982963493581,0.30333024357864047,-1.4139087504311476,4.4821074566158785
7794,2018-02-14,4,0.03242974437634318,0.29823696130557714,-8.584379877822755,9.730198811263222
7795,2018-02-13,4,0.02327387568428663,0.27726182588219245,2.843514560601207,5.05189929206648
7796,2018-02-12,4,0.03371217580984726,0.2837313514520097,-5.893699068249987,7.147210354806035
7797,2018-02-11,4,0.03819455234432341,0.2627206994356922,5.478120102740689,9.015993134394634
7798,2018-02-10,4,0.037672266946817114,0.2727516243661007,2.5629495669267754,11.122281157813532
7799,2018-02-09,4,0.026278205267637023,0.2792455243540712,-7.397624126767013,12.064648054015635
7800,2018-02-08,4,0.027751175362674924,0.24179071201085897,-7.57684743953817,11.80707883536239
7801,2018-02-07,4,0.03473355650428365,0.21964046611260515,4.406471499625681,17.661211437773886
7802,2018-02-06,4,0.0665386990916045,0.23064570848466476,-10.765684064602354,38.65123143172539
7803,2018-02-05,4,0.05115558424825545,0.20032949753623328,19.629891102311987,32.895955065329304
7804,2018-02-04,4,0.03682573081946886,0.24141900882140868,15.572994779688827,20.367070353685392
7805,2018-02-03,4,0.02991036995608093,0.2793036888326649,-4.648039534300793,17.01718674364419
7806,2018-02-02,4,0.06218383495474868,0.255903754001489,13.101879797691595,36.648730338591406
7807,2018-02-01,4,0.04575062946170543,0.2982492395766416,7.96496425923992,17.92522395343272
7808,2018-01-31,4,0.029494949745838682,0.3195931493974748,-4.2224508677688135,9.101984937620827
7809,2018-01-30,4,0.04056961281273961,0.30502291369526685,10.549606442250962,11.866250947253292
7810,2018-01-29,4,0.04047674362526194,0.33161708694707204,5.441656231387242,7.494782085981527
7811,2018-01-28,4,0.07080165382735307,0.34873479984265027,-10.772785083323583,13.131193796195788
7812,2018-01-27,4,0.029835146038778668,0.31524530745948387,-4.6356552683133145,7.663223594762897
7813,2018-01-26,4,0.03742514486210779,0.29364005441734664,-0.2340942853344785,8.408640115743339
7814,2018-01-25,4,0.036149505138886734,0.289468477740555,0.6808463023572529,6.757257340510776
7815,2018-01-24,4,0.03410954203412208,0.26787944882861003,-6.734452632066819,10.005297084808575
7816,2018-01-23,4,0.029629772035359218,0.24515447288922812,1.8191493996673813,11.155409313288516
7817,2018-01-22,4,0.031086359685572263,0.2607755581903105,5.192070381882516,17.01428679068451
7818,2018-01-21,4,0.040949652333397646,0.26213721941992346,10.108815154499908,13.13559018217694
7819,2018-01-20,4,0.03853189290592881,0.29156874950732176,-9.53989273368066,11.690515324938701
7820,2018-01-19,4,0.047900918304904325,0.26200820211798204,-0.9893205214521004,8.917909233839168
7821,2018-01-18,4,0.06258488545654323,0.25496058674536964,-1.914543009087069,13.696704472689206
7822,2018-01-17,4,0.08681980111012795,0.24318176483655438,4.642836166656366,39.60805106769044
7823,2018-01-16,4,0.0856535669597479,0.25025716803367526,22.67650606569083,47.63718942073535
7824,2018-01-15,4,0.05630199325157409,0.3116574631206096,5.672945267446437,7.747558664641943
7825,2018-01-14,4,0.06285829244999366,0.33291099046867473,2.2469003927985085,8.890468984776163
7826,2018-01-13,4,0.05837790920150687,0.3258937463354156,-9.01949766392211,12.78346107541634
7827,2018-01-12,4,0.04216343325165157,0.2822959278299676,-9.025284049344322,15.708566151945519
7828,2018-01-11,4,0.04766974931173703,0.2547402849342324,9.797988349664791,17.806143314027608
7829,2018-01-10,4,0.07826002034514068,0.27661348384491924,3.545095749020888,15.553565391662502
7830,2018-01-09,4,0.061082172993610725,0.27276854518120797,-11.828518887585503,15.320080640640839
7831,2018-01-08,4,0.05093831342790539,0.23423256959337602,0.8471681384514227,24.691705027517628
7832,2018-01-07,4,0.031741531485179456,0.23775791853846998,-9.552800539528377,10.561742758771956
